id;permission_name;description;create_date;modify_date
1;users dot-com;North Dakota Cambridgeshire;2019-05-04T08:38:49;2019-05-04T07:48:30
2;Bedfordshire Alaska calculate;Chips;2019-05-03T14:45:43;2019-05-04T02:03:15
3;uniform PCI back up;Tactics architectures Planner;2019-05-03T14:12:22;2019-05-03T13:48:18
4;Incredible functionalities fuchsia;infrastructure;2019-05-04T09:15:54;2019-05-04T04:23:18
5;matrix calculating;Arkansas Intelligent Credit Card Account;2019-05-03T13:34:18;2019-05-04T04:43:31
6;Open-architected;FTP;2019-05-03T19:33:16;2019-05-03T16:57:54
7;Metal array France;redundant;2019-05-03T17:53:25;2019-05-04T07:11:02
8;Personal Loan Account Sleek Beauty;digital deposit;2019-05-03T20:29:09;2019-05-04T03:48:36
9;Unbranded Fresh Pants Tools California;North Dakota Garden;2019-05-04T02:09:31;2019-05-04T09:36:43
10;Specialist generating;Computers Small Fresh Gloves back-end;2019-05-04T10:17:00;2019-05-04T05:29:36
